variable,block,source,item_de,item_en,measurement,code,value_de,value_en,n,pct,derivation,missing,used_in,notes
training_mode,Governance,raw column 46,Welche Art von KI-Schulung war das? (Mehrfachnennung möglich),What kind of AI training was it? (multiple answers possible),"Multiple response, semicolon delimited, filtered",3,Workshop (wenige Stunden bis 1 Tag),Workshop (a few hours up to one day),15,4.69,Displayed only to respondents answering 'Ja' to training (n = 59 in the analytical sample). Split on ';'.,Structurally missing for the 261 respondents without training.,"Section 4.3 (short presentations, n = 38, 64.41 per cent of those trained).",Percentages in this row block are shares of the analytical sample. Percentages reported in Section 4.3 are shares of the 59 trained respondents. One free-text response was recorded.
training_mode,Governance,raw column 46,Welche Art von KI-Schulung war das? (Mehrfachnennung möglich),What kind of AI training was it? (multiple answers possible),"Multiple response, semicolon delimited, filtered",4,Integrierte in anderen Fortbildungen,Integrated into other continuing education,12,3.75,Displayed only to respondents answering 'Ja' to training (n = 59 in the analytical sample). Split on ';'.,Structurally missing for the 261 respondents without training.,"Section 4.3 (short presentations, n = 38, 64.41 per cent of those trained).",Percentages in this row block are shares of the analytical sample. Percentages reported in Section 4.3 are shares of the 59 trained respondents. One free-text response was recorded.
training_mode,Governance,raw column 46,Welche Art von KI-Schulung war das? (Mehrfachnennung möglich),What kind of AI training was it? (multiple answers possible),"Multiple response, semicolon delimited, filtered",5,Mehrtägiger Kurs/Zertifikatslehrgang,Multi-day course or certificate programme,3,0.94,Displayed only to respondents answering 'Ja' to training (n = 59 in the analytical sample). Split on ';'.,Structurally missing for the 261 respondents without training.,"Section 4.3 (short presentations, n = 38, 64.41 per cent of those trained).",Percentages in this row block are shares of the analytical sample. Percentages reported in Section 4.3 are shares of the 59 trained respondents. One free-text response was recorded.
training_mode,Governance,raw column 46,Welche Art von KI-Schulung war das? (Mehrfachnennung möglich),What kind of AI training was it? (multiple answers possible),"Multiple response, semicolon delimited, filtered",6,Freitext,Free text,1,0.31,Displayed only to respondents answering 'Ja' to training (n = 59 in the analytical sample). Split on ';'.,Structurally missing for the 261 respondents without training.,"Section 4.3 (short presentations, n = 38, 64.41 per cent of those trained).",Percentages in this row block are shares of the analytical sample. Percentages reported in Section 4.3 are shares of the 59 trained respondents. One free-text response was recorded.
training_mode,Governance,raw column 46,Welche Art von KI-Schulung war das? (Mehrfachnennung möglich),What kind of AI training was it? (multiple answers possible),"Multiple response, semicolon delimited, filtered",0,Keine Antwort,No answer,1,0.31,Displayed only to respondents answering 'Ja' to training (n = 59 in the analytical sample). Split on ';'.,Structurally missing for the 261 respondents without training.,"Section 4.3 (short presentations, n = 38, 64.41 per cent of those trained).",Percentages in this row block are shares of the analytical sample. Percentages reported in Section 4.3 are shares of the 59 trained respondents. One free-text response was recorded.
guidelines,Governance,raw column 56,"Haben Sie von Ihrem Arbeitgeber eine Leitlinie oder Ähnliches zum Einsatz und der Nutzung von Künstlicher Intelligenz, insbesondere Large Language Models, erhalten?","Have you received a guideline or similar document from your employer on the deployment and use of artificial intelligence, in particular large language models?","Nominal, three categories",1,Ja,Yes,28,8.75,"Binarised into gov_guidelines: 'Ja' = 1, all other responses = 0.",None in the analytical sample.,Table 3 (Guidelines on AI use); governance_index; Figure 2; Section 5.2.,"Same coding rule for 'Weiß ich nicht' as for tool_provision. The subgroup answering 'Ja' is small (n = 28), which limits what can be inferred from the guidelines coefficient."
guidelines,Governance,raw column 56,"Haben Sie von Ihrem Arbeitgeber eine Leitlinie oder Ähnliches zum Einsatz und der Nutzung von Künstlicher Intelligenz, insbesondere Large Language Models, erhalten?","Have you received a guideline or similar document from your employer on the deployment and use of artificial intelligence, in particular large language models?","Nominal, three categories",0,Nein,No,265,82.81,"Binarised into gov_guidelines: 'Ja' = 1, all other responses = 0.",None in the analytical sample.,Table 3 (Guidelines on AI use); governance_index; Figure 2; Section 5.2.,"Same coding rule for 'Weiß ich nicht' as for tool_provision. The subgroup answering 'Ja' is small (n = 28), which limits what can be inferred from the guidelines coefficient."
guidelines,Governance,raw column 56,"Haben Sie von Ihrem Arbeitgeber eine Leitlinie oder Ähnliches zum Einsatz und der Nutzung von Künstlicher Intelligenz, insbesondere Large Language Models, erhalten?","Have you received a guideline or similar document from your employer on the deployment and use of artificial intelligence, in particular large language models?","Nominal, three categories",0,Weiß ich nicht,Do not know,27,8.44,"Binarised into gov_guidelines: 'Ja' = 1, all other responses = 0.",None in the analytical sample.,Table 3 (Guidelines on AI use); governance_index; Figure 2; Section 5.2.,"Same coding rule for 'Weiß ich nicht' as for tool_provision. The subgroup answering 'Ja' is small (n = 28), which limits what can be inferred from the guidelines coefficient."
shadow_ai_item,Shadow AI,raw column 55,"Unter Schatten-KI versteht man die Verwendung von KI-basierten Anwendungen oder Tools durch Ärzt:innen, die ohne offizielle Genehmigung oder ohne Aufsicht durch die zuständigen IT- oder Datenschutzbeauftragten stattfindet. Beispiel: die Nutzung von ChatGPT auf einem privaten Gerät zur Diagnosestellung. Kennen Sie Fälle von Schatten-KI in Ihrem beruflichen Umfeld?",Shadow AI denotes the use of AI-based applications or tools by physicians that takes place without official approval or without oversight by the responsible IT or data protection officers. Example: the use of ChatGPT on a private device to make a diagnosis. Do you know of cases of Shadow AI in your professional environment?,"Nominal, three mutually exclusive categories",1,"Ja, habe selbst schon mal KI ohne formelle Genehmigung genutzt.","Yes, I have myself used AI without formal approval",95,29.69,Single choice. Question 32 of 33. The construct definition was presented immediately before the item.,Respondents selecting 'Keine Antwort' or leaving the item blank (n = 28) were excluded before the analytical sample was formed; the released file therefore contains no missing values on this item.,Section 4.2; Figure 2; dependent variable of both models in Table 3; 06_nonresponse_bias.py.,"The item is single choice, so a respondent who had both used AI without approval and observed colleagues doing so could record only one of the two. Own use and exposure are therefore lower bounds. The definition encompasses use without approval and use without oversight; see Section 6."
shadow_ai_item,Shadow AI,raw column 55,"Unter Schatten-KI versteht man die Verwendung von KI-basierten Anwendungen oder Tools durch Ärzt:innen, die ohne offizielle Genehmigung oder ohne Aufsicht durch die zuständigen IT- oder Datenschutzbeauftragten stattfindet. Beispiel: die Nutzung von ChatGPT auf einem privaten Gerät zur Diagnosestellung. Kennen Sie Fälle von Schatten-KI in Ihrem beruflichen Umfeld?",Shadow AI denotes the use of AI-based applications or tools by physicians that takes place without official approval or without oversight by the responsible IT or data protection officers. Example: the use of ChatGPT on a private device to make a diagnosis. Do you know of cases of Shadow AI in your professional environment?,"Nominal, three mutually exclusive categories",2,"Ja, habe andere schon mal KI ohne formelle Genehmigung nutzen sehen.","Yes, I have seen others use AI without formal approval",66,20.62,Single choice. Question 32 of 33. The construct definition was presented immediately before the item.,Respondents selecting 'Keine Antwort' or leaving the item blank (n = 28) were excluded before the analytical sample was formed; the released file therefore contains no missing values on this item.,Section 4.2; Figure 2; dependent variable of both models in Table 3; 06_nonresponse_bias.py.,"The item is single choice, so a respondent who had both used AI without approval and observed colleagues doing so could record only one of the two. Own use and exposure are therefore lower bounds. The definition encompasses use without approval and use without oversight; see Section 6."
shadow_ai_item,Shadow AI,raw column 55,"Unter Schatten-KI versteht man die Verwendung von KI-basierten Anwendungen oder Tools durch Ärzt:innen, die ohne offizielle Genehmigung oder ohne Aufsicht durch die zuständigen IT- oder Datenschutzbeauftragten stattfindet. Beispiel: die Nutzung von ChatGPT auf einem privaten Gerät zur Diagnosestellung. Kennen Sie Fälle von Schatten-KI in Ihrem beruflichen Umfeld?",Shadow AI denotes the use of AI-based applications or tools by physicians that takes place without official approval or without oversight by the responsible IT or data protection officers. Example: the use of ChatGPT on a private device to make a diagnosis. Do you know of cases of Shadow AI in your professional environment?,"Nominal, three mutually exclusive categories",3,"Nein, mir ist kein Fall bekannt","No, I am not aware of any case",159,49.69,Single choice. Question 32 of 33. The construct definition was presented immediately before the item.,Respondents selecting 'Keine Antwort' or leaving the item blank (n = 28) were excluded before the analytical sample was formed; the released file therefore contains no missing values on this item.,Section 4.2; Figure 2; dependent variable of both models in Table 3; 06_nonresponse_bias.py.,"The item is single choice, so a respondent who had both used AI without approval and observed colleagues doing so could record only one of the two. Own use and exposure are therefore lower bounds. The definition encompasses use without approval and use without oversight; see Section 6."
shadow_ai_item,Shadow AI,raw column 55,"Unter Schatten-KI versteht man die Verwendung von KI-basierten Anwendungen oder Tools durch Ärzt:innen, die ohne offizielle Genehmigung oder ohne Aufsicht durch die zuständigen IT- oder Datenschutzbeauftragten stattfindet. Beispiel: die Nutzung von ChatGPT auf einem privaten Gerät zur Diagnosestellung. Kennen Sie Fälle von Schatten-KI in Ihrem beruflichen Umfeld?",Shadow AI denotes the use of AI-based applications or tools by physicians that takes place without official approval or without oversight by the responsible IT or data protection officers. Example: the use of ChatGPT on a private device to make a diagnosis. Do you know of cases of Shadow AI in your professional environment?,"Nominal, three mutually exclusive categories",,Keine Antwort / leer,No answer or blank,,,Single choice. Question 32 of 33. The construct definition was presented immediately before the item.,Respondents selecting 'Keine Antwort' or leaving the item blank (n = 28) were excluded before the analytical sample was formed; the released file therefore contains no missing values on this item.,Section 4.2; Figure 2; dependent variable of both models in Table 3; 06_nonresponse_bias.py.,"The item is single choice, so a respondent who had both used AI without approval and observed colleagues doing so could record only one of the two. Own use and exposure are therefore lower bounds. The definition encompasses use without approval and use without oversight; see Section 6."
shadow_own_use,Derived,derived from raw column 55,Eigene unautorisierte KI-Nutzung,Own unauthorised AI use,Binary,1,Eigene Nutzung berichtet,Own use reported,95,29.69,"1 if shadow_ai_item = 'Ja, habe selbst schon mal ...', else 0.",None.,"Dependent variable, primary model, Table 3.","29.69 per cent of the analytical sample. A lower bound, because the source item is single choice."
shadow_own_use,Derived,derived from raw column 55,Eigene unautorisierte KI-Nutzung,Own unauthorised AI use,Binary,0,Beobachtung oder kein Fall bekannt,"Observation of colleagues, or no case known",225,70.31,"1 if shadow_ai_item = 'Ja, habe selbst schon mal ...', else 0.",None.,"Dependent variable, primary model, Table 3.","29.69 per cent of the analytical sample. A lower bound, because the source item is single choice."
shadow_exposure,Derived,derived from raw column 55,Schatten-KI-Exposition,Shadow AI exposure,Binary,1,Eigene Nutzung oder Beobachtung bei Kolleg:innen,Own use or observation of colleagues,161,50.31,"1 if shadow_ai_item is either of the two 'Ja' options, else 0.",None.,"Dependent variable, secondary model, Table 3; Figure 2.","50.31 per cent of the analytical sample. A superset of shadow_own_use: every own-use case is also an exposure case, so the two models are not independent. Reported as exploratory because the item conflates behaviour with perception of the environment."
shadow_exposure,Derived,derived from raw column 55,Schatten-KI-Exposition,Shadow AI exposure,Binary,0,Kein Fall bekannt,No case known,159,49.69,"1 if shadow_ai_item is either of the two 'Ja' options, else 0.",None.,"Dependent variable, secondary model, Table 3; Figure 2.","50.31 per cent of the analytical sample. A superset of shadow_own_use: every own-use case is also an exposure case, so the two models are not independent. Reported as exploratory because the item conflates behaviour with perception of the environment."
gov_ai_tools,Derived,derived from raw column 37,Arbeitgeber stellt KI-Anwendungen bereit (binär),Employer provides AI applications (binary),Binary,1,Ja,Yes,98,30.63,"1 if tool_provision = 'Ja', else 0.",None.,Table 3; governance_index.,30.63 per cent.
gov_ai_tools,Derived,derived from raw column 37,Arbeitgeber stellt KI-Anwendungen bereit (binär),Employer provides AI applications (binary),Binary,0,Nein oder weiß nicht,"No, or do not know",222,69.38,"1 if tool_provision = 'Ja', else 0.",None.,Table 3; governance_index.,30.63 per cent.
gov_training,Derived,derived from raw column 45,KI-spezifische Schulung erhalten (binär),AI-specific training received (binary),Binary,1,Ja,Yes,59,18.44,"1 if training = 'Ja', else 0.",None.,Table 3; governance_index.,18.44 per cent.
gov_training,Derived,derived from raw column 45,KI-spezifische Schulung erhalten (binär),AI-specific training received (binary),Binary,0,Nein,No,261,81.56,"1 if training = 'Ja', else 0.",None.,Table 3; governance_index.,18.44 per cent.
gov_guidelines,Derived,derived from raw column 56,Schriftliche KI-Leitlinie erhalten (binär),Written AI guideline received (binary),Binary,1,Ja,Yes,28,8.75,"1 if guidelines = 'Ja', else 0.",None.,Table 3; governance_index.,8.75 per cent.
gov_guidelines,Derived,derived from raw column 56,Schriftliche KI-Leitlinie erhalten (binär),Written AI guideline received (binary),Binary,0,Nein oder weiß nicht,"No, or do not know",292,91.25,"1 if guidelines = 'Ja', else 0.",None.,Table 3; governance_index.,8.75 per cent.
governance_index,Derived,"derived from raw columns 37, 45, 56",Zusammengesetzter Governance-Index,Composite governance index,"Count, 0 to 3",0,Keine Massnahme vorhanden,No measure in place,193,60.31,"Unweighted sum of gov_ai_tools, gov_training and gov_guidelines.",None.,Table 2; Section 4.3; Section 5.1.,"Loosely adapted from the general governance dimensions in Klotz et al. (2019): AI tools correspond to systems gap resolution, training to awareness measures, and formal guidelines to policy setup. The fourth dimension, monitoring and identification, is omitted because it is not observable through physician self-report. The index is descriptive; it is not entered into the regression models, which retain the three components separately. Construction is documented in governance_index_construction.pdf."
governance_index,Derived,"derived from raw columns 37, 45, 56",Zusammengesetzter Governance-Index,Composite governance index,"Count, 0 to 3",1,Eine Massnahme vorhanden,One measure in place,84,26.25,"Unweighted sum of gov_ai_tools, gov_training and gov_guidelines.",None.,Table 2; Section 4.3; Section 5.1.,"Loosely adapted from the general governance dimensions in Klotz et al. (2019): AI tools correspond to systems gap resolution, training to awareness measures, and formal guidelines to policy setup. The fourth dimension, monitoring and identification, is omitted because it is not observable through physician self-report. The index is descriptive; it is not entered into the regression models, which retain the three components separately. Construction is documented in governance_index_construction.pdf."
governance_index,Derived,"derived from raw columns 37, 45, 56",Zusammengesetzter Governance-Index,Composite governance index,"Count, 0 to 3",2,Zwei Massnahmen vorhanden,Two measures in place,28,8.75,"Unweighted sum of gov_ai_tools, gov_training and gov_guidelines.",None.,Table 2; Section 4.3; Section 5.1.,"Loosely adapted from the general governance dimensions in Klotz et al. (2019): AI tools correspond to systems gap resolution, training to awareness measures, and formal guidelines to policy setup. The fourth dimension, monitoring and identification, is omitted because it is not observable through physician self-report. The index is descriptive; it is not entered into the regression models, which retain the three components separately. Construction is documented in governance_index_construction.pdf."
governance_index,Derived,"derived from raw columns 37, 45, 56",Zusammengesetzter Governance-Index,Composite governance index,"Count, 0 to 3",3,Alle drei Massnahmen vorhanden,All three measures in place,15,4.69,"Unweighted sum of gov_ai_tools, gov_training and gov_guidelines.",None.,Table 2; Section 4.3; Section 5.1.,"Loosely adapted from the general governance dimensions in Klotz et al. (2019): AI tools correspond to systems gap resolution, training to awareness measures, and formal guidelines to policy setup. The fourth dimension, monitoring and identification, is omitted because it is not observable through physician self-report. The index is descriptive; it is not entered into the regression models, which retain the three components separately. Construction is documented in governance_index_construction.pdf."
age_ordinal,Derived,derived from raw column 8,"Alter, ordinal kodiert","Age, ordinal coding","Ordinal, 1 to 6",1,20-29 Jahre,20 to 29 years,,,age_band recoded 1 to 6 in ascending order of the bands.,None.,"Table 3, both models.",Entered as a single ordinal predictor. The odds ratio refers to a one-category increase and assumes a constant effect across adjacent bands.
age_ordinal,Derived,derived from raw column 8,"Alter, ordinal kodiert","Age, ordinal coding","Ordinal, 1 to 6",2,30-39 Jahre,30 to 39 years,,,age_band recoded 1 to 6 in ascending order of the bands.,None.,"Table 3, both models.",Entered as a single ordinal predictor. The odds ratio refers to a one-category increase and assumes a constant effect across adjacent bands.
age_ordinal,Derived,derived from raw column 8,"Alter, ordinal kodiert","Age, ordinal coding","Ordinal, 1 to 6",3,40-49 Jahre,40 to 49 years,,,age_band recoded 1 to 6 in ascending order of the bands.,None.,"Table 3, both models.",Entered as a single ordinal predictor. The odds ratio refers to a one-category increase and assumes a constant effect across adjacent bands.
age_ordinal,Derived,derived from raw column 8,"Alter, ordinal kodiert","Age, ordinal coding","Ordinal, 1 to 6",4,50-59 Jahre,50 to 59 years,,,age_band recoded 1 to 6 in ascending order of the bands.,None.,"Table 3, both models.",Entered as a single ordinal predictor. The odds ratio refers to a one-category increase and assumes a constant effect across adjacent bands.
age_ordinal,Derived,derived from raw column 8,"Alter, ordinal kodiert","Age, ordinal coding","Ordinal, 1 to 6",5,60-69 Jahre,60 to 69 years,,,age_band recoded 1 to 6 in ascending order of the bands.,None.,"Table 3, both models.",Entered as a single ordinal predictor. The odds ratio refers to a one-category increase and assumes a constant effect across adjacent bands.
age_ordinal,Derived,derived from raw column 8,"Alter, ordinal kodiert","Age, ordinal coding","Ordinal, 1 to 6",6,70 Jahre oder älter,70 years or older,,,age_band recoded 1 to 6 in ascending order of the bands.,None.,"Table 3, both models.",Entered as a single ordinal predictor. The odds ratio refers to a one-category increase and assumes a constant effect across adjacent bands.
male,Derived,derived from raw column 10,"Geschlecht, binär kodiert","Gender, binary coding",Binary,1,männlich,Male,157,49.06,"1 if gender = 'männlich', else 0.",None.,"Table 3, both models.",Female is the reference category.
male,Derived,derived from raw column 10,"Geschlecht, binär kodiert","Gender, binary coding",Binary,0,weiblich,Female,163,50.94,"1 if gender = 'männlich', else 0.",None.,"Table 3, both models.",Female is the reference category.
institutional,Derived,derived from raw column 11,"Institutionelles Setting, binär kodiert","Institutional setting, binary coding",Binary,1,Krankenhaus oder MVZ,Hospital or medical care centre,171,53.44,"1 if setting is 'Krankenhaus' or 'MVZ', 0 if 'Praxis'.",None.,"Table 3, both models.",Ambulatory practice is the reference category. Hospitals and medical care centres are combined because the medical care centre subgroup (n = 29) is too small for separate estimation.
institutional,Derived,derived from raw column 11,"Institutionelles Setting, binär kodiert","Institutional setting, binary coding",Binary,0,Praxis,Practice,149,46.56,"1 if setting is 'Krankenhaus' or 'MVZ', 0 if 'Praxis'.",None.,"Table 3, both models.",Ambulatory practice is the reference category. Hospitals and medical care centres are combined because the medical care centre subgroup (n = 29) is too small for separate estimation.
analytic_sample,Derived,derived from raw column 11,Zugehörigkeit zur Analysestichprobe,Membership of the analytical sample,Binary,1,In der Analysestichprobe (n = 320),In the analytical sample (n = 320),,,"0 if setting = 'Sonstige', else 1.",None.,All analyses. Applied at the head of every script.,"Full derivation from n = 403 raw responses to n = 320 is shown in strobe_flow_diagram.pdf: 403 raw, 363 valid records after exclusion of non-physicians, retired participants, respondents from Austria and Switzerland and records incomplete on key demographics; 335 after exclusion of respondents who did not answer the Shadow AI item (n = 28); 320 after exclusion of heterogeneous low-frequency work settings (n = 15)."
analytic_sample,Derived,derived from raw column 11,Zugehörigkeit zur Analysestichprobe,Membership of the analytical sample,Binary,0,"Ausgeschlossen (setting = 'Sonstige', n = 15)","Excluded (setting = 'Sonstige', n = 15)",,,"0 if setting = 'Sonstige', else 1.",None.,All analyses. Applied at the head of every script.,"Full derivation from n = 403 raw responses to n = 320 is shown in strobe_flow_diagram.pdf: 403 raw, 363 valid records after exclusion of non-physicians, retired participants, respondents from Austria and Switzerland and records incomplete on key demographics; 335 after exclusion of respondents who did not answer the Shadow AI item (n = 28); 320 after exclusion of heterogeneous low-frequency work settings (n = 15)."
